"Rk","Player","From","To","Tm","Lg","WS","G","GS","MP","FG","FGA","X2P","X2PA","X3P","X3PA","FT","FTA","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","FG.","X2P.","X3P.","eFG.","FT.","TS."
1,"LeBron James\jamesle01",2004,2021,"TOT","NBA",242.1,1306,1305,49939,12869,25537,10896,19818,1973,5719,7572,10321,1533,8195,9728,9669,2058,981,4576,2390,35283,0.504,0.55,0.345,0.543,0.734,0.587
2,"Karl Malone\malonka01",1986,2004,"TOT","NBA",234.6,1476,1471,54852,13528,26210,13443,25900,85,310,9787,13188,3562,11406,14968,5248,2085,1145,4524,4578,36928,0.516,0.519,0.274,0.518,0.742,0.577
3,"Michael Jordan\jordami01",1985,2003,"TOT","NBA",214,1072,1039,41011,12192,24537,11611,22759,581,1778,7327,8772,1668,5004,6672,5633,2514,893,2924,2783,32292,0.497,0.51,0.327,0.509,0.835,0.569
4,"John Stockton\stockjo01",1985,2003,"UTA","NBA",207.7,1504,1300,47764,7039,13658,6194,11455,845,2203,4788,5796,966,3085,4051,15806,3265,315,4244,3942,19711,0.515,0.541,0.384,0.546,0.826,0.608
5,"Tim Duncan\duncati01",1998,2016,"SAS","NBA",206.4,1392,1389,47368,10285,20334,10255,20166,30,168,5896,8468,3859,11232,15091,4225,1025,3020,3381,3304,26496,0.506,0.509,0.179,0.507,0.696,0.551
6,"Dirk Nowitzki\nowitdi01",1999,2019,"DAL","NBA",206.3,1522,1460,51368,11169,23734,9187,18524,1982,5210,7240,8239,1468,10021,11489,3651,1210,1281,2494,3601,31560,0.471,0.496,0.38,0.512,0.879,0.577
7,"Kevin Garnett\garneke01",1996,2016,"TOT","NBA",191.4,1462,1425,50418,10505,21142,10331,20510,174,632,4887,6190,3209,11453,14662,5445,1859,2037,3179,3561,26071,0.497,0.504,0.275,0.501,0.789,0.546
8,"Chris Paul\paulch01",2006,2021,"TOT","NBA",185.8,1063,1063,36925,6856,14554,5418,10664,1438,3890,4365,5005,685,4131,4816,10028,2292,144,2564,2607,19515,0.471,0.508,0.37,0.52,0.872,0.582
9,"Shaquille O'Neal\onealsh01",1993,2011,"TOT","NBA",181.7,1207,1197,41918,11330,19457,11329,19435,1,22,5935,11252,4209,8890,13099,3026,739,2732,3310,4146,28596,0.582,0.583,0.045,0.582,0.527,0.586
10,"David Robinson\robinda01",1990,2003,"SAS","NBA",178.7,987,985,34271,7365,14221,7340,14121,25,100,6035,8201,3083,7414,10497,2441,1388,2954,2417,2835,20790,0.518,0.52,0.25,0.519,0.736,0.583
11,"Charles Barkley\barklch01",1985,2000,"TOT","NBA",177.2,1073,1012,39330,8435,15605,7897,13585,538,2020,6349,8643,4260,8286,12546,4215,1648,888,3376,3287,23757,0.541,0.581,0.266,0.558,0.735,0.612
12,"Reggie Miller\millere01",1988,2005,"IND","NBA",174.4,1389,1304,47619,8241,17499,5681,11013,2560,6486,6237,7026,883,3299,4182,4141,1505,299,2409,2730,25279,0.471,0.516,0.395,0.544,0.888,0.614
13,"Kobe Bryant\bryanko01",1997,2016,"LAL","NBA",172.7,1346,1198,48637,11719,26200,9892,20654,1827,5546,8378,10011,1499,5548,7047,6306,1944,640,4010,3353,33643,0.447,0.479,0.329,0.482,0.837,0.55
