Rk,Player,Season,Age,Tm,Lg,MP,G,GS,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
1,Isaac Okoro\okorois01,2020-21,20,CLE,NBA,32.1,41,41,2.9,7.1,2.1,4.3,0.8,2.8,1.1,1.6,0.9,1.8,2.7,1.8,1.1,0.5,1.5,2.8,7.8,.414,.489,.298,.472,.701,.502
2,Anthony Edwards\edwaran01,2020-21,19,MIN,NBA,30.5,46,29,6.3,16.3,4.1,9.5,2.2,6.8,2.3,3.0,0.8,3.5,4.3,2.5,1.0,0.3,1.9,1.7,17.0,.385,.436,.315,.451,.775,.484
3,Tyrese Haliburton\halibty01,2020-21,20,SAC,NBA,30.1,40,9,5.0,10.3,2.8,5.1,2.3,5.2,0.8,1.0,0.8,2.5,3.3,4.9,1.3,0.6,1.6,1.4,13.1,.488,.547,.431,.597,.868,.612
4,LaMelo Ball\ballla01,2020-21,19,CHO,NBA,28.6,41,21,5.8,12.8,3.8,7.6,2.0,5.3,2.4,3.0,1.3,4.5,5.9,6.1,1.6,0.3,2.8,2.8,15.9,.451,.503,.375,.528,.789,.562
5,Jae'Sean Tate\tateja01,2020-21,25,HOU,NBA,28.5,45,33,4.1,8.0,3.4,5.6,0.7,2.3,1.3,1.9,1.9,3.5,5.4,1.9,1.2,0.6,1.2,3.1,10.3,.520,.602,.317,.566,.706,.588
6,Patrick Williams\willipa01,2020-21,19,CHI,NBA,28.2,43,43,3.7,7.9,2.8,5.7,0.8,2.2,1.4,1.8,0.9,4.0,4.9,1.2,0.7,0.7,1.4,2.1,9.6,.466,.502,.375,.519,.766,.551
7,Théo Maledon\maledth01,2020-21,19,OKC,NBA,26.9,39,23,3.1,7.9,1.4,3.4,1.7,4.5,0.8,1.0,0.4,2.9,3.2,3.4,1.0,0.1,1.9,2.2,8.5,.386,.403,.374,.492,.750,.511
8,Cole Anthony\anthoco01,2020-21,20,ORL,NBA,26.7,25,17,4.0,10.8,3.0,7.4,1.1,3.3,1.8,2.2,0.8,3.6,4.4,3.8,0.7,0.4,2.0,2.0,11.0,.375,.398,.325,.426,.836,.469
9,Saddiq Bey\beysa01,2020-21,21,DET,NBA,24.7,43,26,3.4,8.5,1.2,2.7,2.3,5.8,1.6,1.8,0.6,3.6,4.2,1.3,0.6,0.1,0.7,1.7,10.7,.405,.447,.386,.538,.870,.577
10,Chuma Okeke\okekech01,2020-21,22,ORL,NBA,22.5,30,4,2.1,5.1,1.0,2.4,1.1,2.7,0.4,0.6,0.8,2.8,3.7,1.9,0.8,0.4,0.7,1.0,5.7,.418,.425,.413,.526,.647,.536
