Rk,Player,Season,Age,Tm,Lg,MP,G,GS,MP,PER,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
1,Isaac Okoro\okorois01,2020-21,20,CLE,NBA,32.1,41,41,1317,6.5,.393,.231,3.1,6.5,4.8,8.0,1.6,1.3,16.0,12.5,97,115,-0.6,0.8,0.3,.010,-4.8,-0.3,-5.1,-1.0
2,Anthony Edwards\edwaran01,2020-21,19,MIN,NBA,30.5,46,29,1401,11.2,.419,.184,2.6,13.1,7.6,13.3,1.5,1.0,9.9,27.0,96,117,-1.5,0.7,-0.8,-.029,-2.3,-2.4,-4.8,-1.0
3,Tyrese Haliburton\halibty01,2020-21,20,SAC,NBA,30.1,40,9,1205,16.9,.507,.092,3.0,9.3,6.1,22.3,2.0,1.6,12.6,17.4,122,119,2.4,0.3,2.7,.108,2.4,-0.6,1.8,1.2
4,LaMelo Ball\ballla01,2020-21,19,CHO,NBA,28.6,41,21,1174,18.6,.411,.234,5.0,17.4,11.1,33.6,2.7,1.2,16.5,25.3,111,110,1.5,1.5,2.9,.120,1.9,0.8,2.7,1.4
5,Jae'Sean Tate\tateja01,2020-21,25,HOU,NBA,28.5,45,33,1284,13.6,.291,.237,6.9,13.6,10.1,9.9,1.9,1.9,11.6,14.9,117,112,1.5,1.4,2.9,.109,-1.9,0.6,-1.3,0.2
6,Patrick Williams\willipa01,2020-21,19,CHI,NBA,28.2,43,43,1212,9.8,.283,.227,3.7,15.2,9.6,5.9,1.2,2.2,14.3,15.4,103,112,0.0,1.2,1.2,.048,-3.1,-0.5,-3.6,-0.5
7,Théo Maledon\maledth01,2020-21,19,OKC,NBA,26.9,39,23,1051,8.1,.565,.130,1.4,11.1,6.3,18.2,1.7,0.3,18.7,16.6,96,113,-0.7,1.0,0.3,.013,-4.4,-0.3,-4.7,-0.7
8,Cole Anthony\anthoco01,2020-21,20,ORL,NBA,26.7,25,17,667,10.2,.309,.204,3.0,14.6,8.7,21.7,1.2,1.6,14.8,22.3,95,113,-0.7,0.6,-0.1,-.007,-3.0,-1.1,-4.1,-0.4
9,Saddiq Bey\beysa01,2020-21,21,DET,NBA,24.7,43,26,1063,12.4,.688,.211,2.5,16.6,9.4,7.9,1.3,0.4,7.4,17.7,114,114,1.1,0.9,2.0,.088,0.2,-1.0,-0.8,0.3
10,Chuma Okeke\okekech01,2020-21,22,ORL,NBA,22.5,30,4,674,10.7,.523,.111,3.7,13.5,8.5,12.2,1.7,1.5,11.6,11.6,111,113,0.4,0.7,1.0,.074,-2.0,0.7,-1.3,0.1
11,Desmond Bane\banede01,2020-21,22,MEM,NBA,22.2,39,10,867,11.5,.525,.106,1.8,12.4,6.9,8.0,1.4,0.5,11.7,16.2,112,113,0.7,0.8,1.5,.084,-1.3,-0.4,-1.7,0.1
