"Rk","Player","Season","Age","Tm","Lg","G","MP","GS","MP.1","PER","X3PAr","FTr","ORB.","DRB.","TRB.","AST.","STL.","BLK.","TOV.","USG.","ORtg","DRtg","OWS","DWS","WS","WS.48","OBPM","DBPM","BPM","VORP"
1,"Damon Stoudamire\stoudda01","1995-96",22,"TOR","NBA",70,40.9,70,2865,16.7,0.298,0.262,2.4,9.3,5.8,37.4,1.8,0.5,17.5,23.5,108,115,3.7,0.6,4.3,0.072,2.5,-2.4,0.1,1.6
2,"Allen Iverson\iversal01","1996-97",21,"PHI","NBA",76,40.1,74,3045,18,0.303,0.362,4,7.2,5.6,33.6,2.6,0.6,16.2,28.9,104,112,3.1,1,4.1,0.065,2.5,-1.6,0.9,2.2
3,"Shane Battier\battish01","2001-02",23,"MEM","NBA",78,39.7,78,3097,13.9,0.287,0.294,6.5,8.6,7.5,11.9,2.1,1.8,12.5,18.2,104,107,2.7,2.1,4.8,0.074,0.2,0.3,0.5,1.9
4,"Mark Jackson\jacksma01","1987-88",22,"NYK","NBA",82,39.6,80,3249,15.7,0.124,0.263,4.1,10,7,37.4,3.1,0.1,18.6,17.3,109,106,3.5,4.2,7.6,0.113,1.6,1.1,2.7,3.9
5,"LeBron James\jamesle01","2003-04",19,"CLE","NBA",79,39.5,79,3122,18.3,0.145,0.308,3.5,11.8,7.6,27.8,2.2,1.3,13.9,28.2,99,104,2.4,2.6,5.1,0.078,2.3,-0.6,1.7,2.9
6,"Michael Finley\finlemi01","1995-96",22,"PHO","NBA",82,39.2,72,3212,14,0.191,0.331,5.1,8.3,6.7,13.9,1.4,0.7,10.6,17.3,114,113,5,1.3,6.3,0.095,0.6,-0.8,-0.2,1.5
7,"Tim Duncan\duncati01","1997-98",21,"SAS","NBA",82,39.1,82,3204,22.6,0.008,0.375,10.5,23.8,17.6,13.7,0.9,4.5,15.7,26,108,95,5.6,7.2,12.8,0.192,2.5,2.1,4.6,5.4
8,"Bill Cartwright\cartwbi01","1979-80",22,"NYK","NBA",82,38.4,NA,3150,17.9,0,0.466,6.6,18.6,12.6,7,0.7,1.7,13.2,20.6,117,108,7.7,2.1,9.7,0.148,1.7,-1.2,0.6,2.1
9,"Grant Hill\hillgr01","1994-95",22,"DET","NBA",70,38.3,69,2678,19,0.025,0.48,5.4,14.1,9.7,22.5,2.4,1.7,13.5,24.9,109,111,3.7,1.8,5.4,0.097,2.1,-0.1,2,2.7
10,"Michael Jordan\jordami01","1984-85",21,"CHI","NBA",82,38.3,82,3144,25.8,0.032,0.459,6.3,13.2,9.8,25.3,3,1.3,13,29.8,118,107,10.3,3.7,14,0.213,5.8,1.5,7.3,7.4
11,"Dikembe Mutombo\mutomdi01","1991-92",25,"DEN","NBA",71,38.3,71,2716,16.5,0,0.575,11.9,23.3,17.3,8.6,0.8,4.8,18.8,20.1,103,106,1.3,3.6,4.8,0.086,-0.6,0.6,0,1.4
12,"Blake Griffin\griffbl01","2010-11",21,"LAC","NBA",82,38,82,3112,21.9,0.017,0.505,10.2,26.9,18.6,18.7,1,1.1,11.7,27.3,111,107,6.5,3.4,9.8,0.152,3,-0.3,2.6,3.6
13,"O.J. Mayo\mayooj01","2008-09",21,"MEM","NBA",82,38,82,3120,14.2,0.295,0.219,2.2,10.1,6.1,15.5,1.6,0.3,13.8,24.5,103,112,1.5,1.8,3.4,0.052,0.2,-1.4,-1.3,0.6
14,"Shaquille O'Neal\onealsh01","1992-93",20,"ORL","NBA",81,37.9,81,3071,22.9,0.002,0.553,13.4,27.1,20.6,8.5,1,5.7,15.9,27,108,100,4.5,6,10.4,0.163,2,1.5,3.5,4.3
15,"John Wall\walljo01","2010-11",20,"WAS","NBA",69,37.8,64,2606,15.8,0.118,0.404,1.5,12.8,6.9,36,2.4,1,18.6,23.8,100,110,0.3,1.9,2.2,0.041,0,-0.8,-0.8,0.8
16,"Lionel Simmons\simmoli01","1990-91",22,"SAC","NBA",79,37.7,79,2978,15.4,0.008,0.334,7.2,19.7,13.3,17.7,1.9,1.8,13.4,25.3,97,106,-0.9,3.6,2.7,0.044,-0.5,0.1,-0.4,1.2
17,"Jerry Stackhouse\stackje01","1995-96",21,"PHI","NBA",72,37.5,71,2701,14.8,0.268,0.475,3.7,7.7,5.7,19,1.5,2.1,16,26,101,115,0.8,0.4,1.2,0.021,0.7,-1.7,-1,0.7
18,"Kelly Tripucka\tripuke01","1981-82",22,"DET","NBA",82,37.5,82,3077,16.4,0.017,0.485,7.6,8.2,7.9,12.7,1.3,0.3,15.3,23.3,111,110,5.4,2.1,7.5,0.117,1.5,-1.3,0.2,1.7
19,"Keith Van Horn\vanhoke01","1997-98",22,"NJN","NBA",62,37.5,62,2325,15.7,0.214,0.291,6.6,14.1,10.1,7.9,1.5,0.8,12.2,25.2,106,108,3.2,1.6,4.8,0.098,0.7,-1.6,-0.8,0.7
20,"Ron Harper\harpero01","1986-87",23,"CLE","NBA",82,37.4,82,3064,17.2,0.058,0.349,6,7.8,6.9,21.1,3.2,1.5,15.6,28.9,99,105,-0.1,4.4,4.2,0.066,0.8,1.1,1.8,3
21,"Tyreke Evans\evansty01","2009-10",20,"SAC","NBA",72,37.2,72,2677,18.2,0.121,0.399,2.8,13.6,8.1,26.1,2.1,0.7,13.6,26.2,107,110,3.3,2.1,5.4,0.097,1.3,0,1.3,2.2
22,"Larry Johnson\johnsla02","1991-92",22,"CHH","NBA",82,37.2,77,3047,18.9,0.017,0.325,11.2,20.7,15.9,13.5,1.3,1,10,21.2,116,110,6.4,2.5,8.9,0.14,2.4,-1,1.4,2.6
23,"Elton Brand\brandel01","1999-00",20,"CHI","NBA",81,37,80,2999,20.6,0.002,0.41,13.3,18.4,15.8,11.8,1.2,3.3,12.9,27,104,103,4.2,3.3,7.5,0.121,2.2,-0.9,1.3,2.5
24,"Glenn Robinson\robingl01","1994-95",22,"MIL","NBA",80,37,76,2958,16.6,0.19,0.354,6.7,14.4,10.4,12.2,2,0.6,16.1,29.1,102,111,1.1,2.2,3.2,0.053,0.6,-1.5,-0.9,0.8
25,"Derrick Rose\rosede01","2008-09",20,"CHI","NBA",81,37,80,3000,16,0.06,0.207,3.7,8.4,6.1,28.8,1.1,0.4,13.3,22.6,108,113,3.4,1.5,4.9,0.078,1.1,-1.5,-0.4,1.2
26,"Anfernee Hardaway\hardaan01","1993-94",22,"ORL","NBA",82,36.8,82,3015,17.4,0.171,0.302,7.2,9.1,8.2,26.6,3.2,1.1,19.1,21.7,107,106,3.8,3.3,7.1,0.112,1.9,1,2.9,3.8
27,"Pau Gasol\gasolpa01","2001-02",21,"MEM","NBA",82,36.7,79,3007,19.5,0.005,0.448,8.8,18.2,13.5,13.8,0.7,3.9,15,22.6,108,105,4.8,2.8,7.6,0.121,1.5,0.2,1.7,2.8
28,"Kerry Kittles\kittlke01","1996-97",22,"NJN","NBA",82,36.7,57,3012,16,0.352,0.191,3.6,8.1,5.7,14,2.7,0.9,9,20.1,113,110,5.1,1.8,6.9,0.11,1.4,0.4,1.8,2.9
29,"Jamal Mashburn\mashbja01","1993-94",21,"DAL","NBA",79,36.7,73,2896,13.2,0.216,0.317,3.9,10.3,6.8,15.8,1.6,0.3,13.5,26.6,97,112,-0.2,1,0.9,0.014,-0.3,-2.2,-2.4,-0.3
30,"Caron Butler\butleca01","2002-03",22,"MIA","NBA",78,36.6,78,2858,15.1,0.104,0.363,5.3,10.9,8,14.1,2.6,0.9,13.8,22.9,99,102,1.6,3.6,5.1,0.086,-0.4,1,0.5,1.8
31,"Calvin Natt\nattca01","1979-80",23,"TOT","NBA",78,36.6,NA,2857,17,0.007,0.323,8.8,16.7,12.7,9.1,1.6,0.7,11.8,23.2,106,103,3.5,3.7,7.1,0.12,1.2,-0.7,0.4,1.8
32,"David Robinson\robinda01","1989-90",24,"SAS","NBA",82,36.6,81,3002,26.3,0.002,0.644,11.7,24.8,18.5,8.7,2.2,6.5,13.3,26.6,116,97,7.9,7.2,15.1,0.241,4,2.9,6.9,6.8
33,"Carmelo Anthony\anthoca01","2003-04",19,"DEN","NBA",82,36.5,82,2995,17.6,0.146,0.358,6.8,12.1,9.4,13.8,1.7,1,12.7,28.5,102,105,3.7,2.4,6.1,0.098,1.6,-1.6,0,1.5
34,"Lamar Odom\odomla01","1999-00",20,"LAC","NBA",76,36.4,70,2767,16.8,0.16,0.41,6.2,18.2,12,20.2,1.7,2.3,17.6,23.5,100,108,1.7,1.5,3.2,0.055,0.8,-0.2,0.6,1.8
